campaign_date,impressions,clicks,leads,customers,spend,revenue,ctr,click_to_lead_rate,lead_to_customer_rate,cac,roas,roi
2025-01-01,14643132.0,351435.0,30881.0,5031.0,778294.9199999999,2573035.1600000006,0.023999988527044623,0.087871156828432,0.16291570868819014,154.6998449612403,3.3059899196052838,2.3059899196052838
2025-02-01,15132963.0,361583.0,29261.0,5051.0,811572.2200000001,2660966.67,0.023893734492048912,0.08092471161531377,0.17261884419534534,160.67555335577114,3.2787798848018723,2.278779884801872
2025-03-01,15747563.0,380354.0,30421.0,5119.0,853331.5300000001,2654848.31,0.02415319754555038,0.07998075477055586,0.16827191742546269,166.698872826724,3.1111569380308723,2.1111569380308723
2025-04-01,16319031.0,390392.0,32745.0,5709.0,878823.9600000002,2851571.84,0.023922498829740565,0.08387723109080104,0.17434722858451673,153.936584340515,3.2447588707071655,2.2447588707071655
2025-05-01,15779758.0,379520.0,29979.0,5276.0,876777.02,2710950.7899999996,0.024051065928894475,0.0789918844856661,0.17598985956836452,166.18214935557242,3.0919500946774354,2.0919500946774354
2025-06-01,16173265.0,384086.0,33198.0,5827.0,874373.67,2718554.0,0.023748204212322002,0.08643376743750097,0.17552262184468945,150.05554659344432,3.1091444004712536,2.109144400471254
2025-07-01,15555242.0,389134.0,33258.0,5832.0,843316.04,2828256.14,0.02501626139921192,0.08546670298663185,0.1753563052498647,144.6015157750343,3.3537321785080714,2.3537321785080714
2025-08-01,15949144.0,374377.0,31847.0,5192.0,842760.93,2623242.71,0.023473171977129306,0.08506665740683857,0.16302948472383583,162.3191313559322,3.1126771740593147,2.112677174059314
2025-09-01,16499342.0,400372.0,32583.0,5087.0,884750.9199999999,2751784.16,0.02426593739313968,0.08138181491213171,0.15612435932848417,173.9239080007863,3.1102359972680227,2.1102359972680227
2025-10-01,17114613.0,434054.0,35118.0,5915.0,922821.18,3124384.66,0.025361601807765095,0.08090698392365926,0.16843214306053875,156.01372442941675,3.3856880701416063,2.3856880701416063
2025-11-01,17720747.0,431474.0,35423.0,5680.0,968419.92,2932091.4300000006,0.024348522102369614,0.08209764667164186,0.16034779662930865,170.4964647887324,3.027706648165602,2.0277066481656023
2025-12-01,19183374.0,461844.0,37622.0,6295.0,1032259.23,3427393.88,0.02407522263810318,0.08146040654420107,0.16732231141353462,163.98081493248608,3.3202840724417646,2.3202840724417646
